Loan,Alpha_CH,Alpha_EU,Alpha_US
ABC1,0.56,0,0
ABC2,0.46,0,0
ABC3,0.73,0,0
ABC4,0.21,0,0
ABC5,0.58,0,0
ABC6,0.61,0,0
ABC7,0.68,0,0
ABC8,0.62,0,0
ABC9,0.23,0,0
ABC10,0.34,0,0
ABC11,0.21,0,0
ABC12,0.37,0,0
ABC13,0.23,0,0
ABC14,0.68,0,0
ABC15,0.48,0,0
ABC16,0.74,0,0
ABC17,0.65,0,0
ABC18,0.37,0,0
ABC19,0.35,0,0
ABC20,0.49,0,0
ABC21,0.52,0,0
ABC22,0.22,0,0
ABC23,0.34,0,0
ABC24,0.36,0,0
ABC25,0.22,0,0
ABC26,0.38,0,0
ABC27,0.76,0,0
ABC28,0.32,0,0
ABC29,0.48,0,0
ABC30,0.69,0,0
ABC31,0.51,0,0
ABC32,0.53,0,0
ABC33,0.69,0,0
ABC34,0.38,0,0
ABC35,0.38,0,0
ABC36,0.22,0,0
ABC37,0.71,0,0
ABC38,0.51,0,0
ABC39,0.23,0,0
ABC40,0.29,0,0
ABC41,0.38,0,0
ABC42,0.7,0,0
ABC43,0.35,0,0
ABC44,0.43,0,0
ABC45,0.78,0,0
ABC46,0.68,0,0
ABC47,0.55,0,0
ABC48,0.7,0,0
ABC49,0.28,0,0
ABC50,0.53,0,0
ABC51,0.43,0,0
ABC52,0.35,0,0
ABC53,0.73,0,0
ABC54,0.49,0,0
ABC55,0.7,0,0
ABC56,0.38,0,0
ABC57,0.46,0,0
ABC58,0.74,0,0
ABC59,0.62,0,0
ABC60,0.75,0,0
ABC61,0.71,0,0
ABC62,0.24,0,0
ABC63,0.43,0,0
ABC64,0.37,0,0
ABC65,0.41,0,0
ABC66,0.32,0,0
ABC67,0.27,0,0
ABC68,0.27,0,0
ABC69,0.33,0,0
ABC70,0.47,0,0
ABC71,0.48,0,0
ABC72,0.56,0,0
ABC73,0.6,0,0
ABC74,0.2,0,0
ABC75,0.47,0,0
ABC76,0.5,0,0
ABC77,0.79,0,0
ABC78,0.4,0,0
ABC79,0.62,0,0
ABC80,0.67,0,0
ABC81,0.43,0,0
ABC82,0.25,0,0
ABC83,0.41,0,0
ABC84,0.4,0,0
ABC85,0.76,0,0
ABC86,0.57,0,0
ABC87,0.22,0,0
ABC88,0.45,0,0
ABC89,0.53,0,0
ABC90,0.32,0,0
ABC91,0.67,0,0
ABC92,0.71,0,0
ABC93,0.79,0,0
ABC94,0.51,0,0
ABC95,0.28,0,0
ABC96,0.34,0,0
ABC97,0.56,0,0
ABC98,0.36,0,0
ABC99,0.45,0,0
ABC100,0.56,0,0
ABC101,0.78,0,0
ABC102,0.55,0,0
ABC103,0.69,0,0
ABC104,0.44,0,0
ABC105,0.52,0,0
ABC106,0.47,0,0
ABC107,0.49,0,0
ABC108,0.28,0,0
ABC109,0.57,0,0
ABC110,0.5,0,0
ABC111,0.26,0,0
ABC112,0.7,0,0
ABC113,0.21,0,0
ABC114,0.65,0,0
ABC115,0.25,0,0
ABC116,0.71,0,0
ABC117,0.55,0,0
ABC118,0.41,0,0
ABC119,0.27,0,0
ABC120,0.37,0,0
ABC121,0.5,0,0
ABC122,0.54,0,0
ABC123,0.78,0,0
ABC124,0.64,0,0
ABC125,0.63,0,0
ABC126,0.3,0,0
ABC127,0.7,0,0
ABC128,0.46,0,0
ABC129,0.78,0,0
ABC130,0.39,0,0
ABC131,0.3,0,0
ABC132,0.34,0,0
ABC133,0.34,0,0
ABC134,0.73,0,0
ABC135,0.33,0,0
ABC136,0.41,0,0
ABC137,0.36,0,0
ABC138,0.75,0,0
ABC139,0.32,0,0
ABC140,0.53,0,0
ABC141,0.36,0,0
ABC142,0.27,0,0
ABC143,0.21,0,0
ABC144,0.26,0,0
ABC145,0.51,0,0
ABC146,0.73,0,0
ABC147,0.63,0,0
ABC148,0.3,0,0
ABC149,0.35,0,0
ABC150,0.33,0,0
ABC151,0.39,0,0
ABC152,0.65,0,0
ABC153,0.29,0,0
ABC154,0.46,0,0
ABC155,0.68,0,0
ABC156,0.73,0,0
ABC157,0.63,0,0
ABC158,0.62,0,0
ABC159,0.55,0,0
ABC160,0.61,0,0
ABC161,0.24,0,0
ABC162,0.21,0,0
ABC163,0.78,0,0
ABC164,0.26,0,0
ABC165,0.22,0,0
ABC166,0.64,0,0
ABC167,0.54,0,0
ABC168,0.39,0,0
ABC169,0.62,0,0
ABC170,0.29,0,0
ABC171,0.54,0,0
ABC172,0.77,0,0
ABC173,0.47,0,0
ABC174,0.49,0,0
ABC175,0.59,0,0
ABC176,0.41,0,0
ABC177,0.43,0,0
ABC178,0.29,0,0
ABC179,0.44,0,0
ABC180,0.36,0,0
ABC181,0.76,0,0
ABC182,0.69,0,0
ABC183,0.21,0,0
ABC184,0.51,0,0
ABC185,0.3,0,0
ABC186,0.46,0,0
ABC187,0.68,0,0
ABC188,0.51,0,0
ABC189,0.8,0,0
ABC190,0.39,0,0
ABC191,0.34,0,0
ABC192,0.26,0,0
ABC193,0.79,0,0
ABC194,0.42,0,0
ABC195,0.71,0,0
ABC196,0.33,0,0
ABC197,0.56,0,0
ABC198,0.39,0,0
ABC199,0.21,0,0
ABC200,0.57,0,0
ABC201,0.46,0,0
ABC202,0.36,0,0
ABC203,0.5,0,0
ABC204,0.49,0,0
ABC205,0.8,0,0
ABC206,0.41,0,0
ABC207,0.41,0,0
ABC208,0.24,0,0
ABC209,0.49,0,0
ABC210,0.39,0,0
ABC211,0.24,0,0
ABC212,0.68,0,0
ABC213,0.34,0,0
ABC214,0.51,0,0
ABC215,0.53,0,0
ABC216,0.43,0,0
ABC217,0.6,0,0
ABC218,0.65,0,0
ABC219,0.5,0,0
ABC220,0.29,0,0
ABC221,0.54,0,0
ABC222,0.71,0,0
ABC223,0.35,0,0
ABC224,0.4,0,0
ABC225,0.27,0,0
ABC226,0.58,0,0
ABC227,0.57,0,0
ABC228,0.27,0,0
ABC229,0.7,0,0
ABC230,0.26,0,0
ABC231,0.71,0,0
ABC232,0.76,0,0
ABC233,0.31,0,0
ABC234,0.57,0,0
ABC235,0.2,0,0
ABC236,0.25,0,0
ABC237,0.32,0,0
ABC238,0.66,0,0
ABC239,0.66,0,0
ABC240,0.22,0,0
ABC241,0.23,0,0
ABC242,0.7,0,0
ABC243,0.46,0,0
ABC244,0.62,0,0
ABC245,0.47,0,0
ABC246,0.29,0,0
