Loan,Region,Rating,EAD,LGD
ABC1,CH,AA,39729.36,0.2
ABC2,CH,A,75488.56,0.2
ABC3,CH,A,356154.8,0.2
ABC4,CH,B,88918,0.2
ABC5,CH,BB,59349.28,0.2
ABC6,CH,A,21696.12,0.2
ABC7,CH,AA,120648.64,0.2
ABC8,CH,BB,87091.45,0.2
ABC9,CH,BB,130107.65,0.2
ABC10,CH,A,174036.31,0.2
ABC11,CH,BB,120612.95,0.2
ABC12,CH,BBB,25825.15,0.2
ABC13,CH,B,44808.98,0.2
ABC14,CH,B,60306.51,0.2
ABC15,CH,BB,77757.88,0.2
ABC16,CH,BBB,85525.36,0.2
ABC17,CH,BBB,219416.07,0.2
ABC18,CH,BBB,229857.35,0.2
ABC19,CH,A,275294.27,0.2
ABC20,CH,BB,56095.24,0.2
ABC21,CH,A,135064.15,0.2
ABC22,CH,BB,69634.51,0.2
ABC23,CH,BBB,13257.59,0.2
ABC24,CH,AA,110942.13,0.2
ABC25,CH,BB,168877.3,0.2
ABC26,CH,BBB,82628.2,0.2
ABC27,CH,BBB,58513.55,0.2
ABC28,CH,BBB,276997.76,0.2
ABC29,CH,A,116192.21,0.2
ABC30,CH,A,74463.46,0.2
ABC31,CH,BBB,207886.61,0.2
ABC32,CH,BB,18250.76,0.2
ABC33,CH,BBB,7443.85,0.2
ABC34,CH,A,24079.37,0.2
ABC35,CH,BBB,7300.73,0.2
ABC36,CH,BBB,182225.12,0.2
ABC37,CH,BB,32495.59,0.2
ABC38,CH,BB,61973.72,0.2
ABC39,CH,BBB,183793.51,0.2
ABC40,CH,BB,37083.15,0.2
ABC41,CH,A,29549.85,0.2
ABC42,CH,BBB,190545.81,0.2
ABC43,CH,BB,292865.37,0.2
ABC44,CH,BBB,23437.85,0.2
ABC45,CH,A,38263.12,0.2
ABC46,CH,A,160476.85,0.2
ABC47,CH,BB,34650.48,0.2
ABC48,CH,BB,81587.38,0.2
ABC49,CH,AA,118041.29,0.2
ABC50,CH,BBB,6940.39,0.2
ABC51,CH,A,159071.42,0.2
ABC52,CH,A,82621.01,0.2
ABC53,CH,BBB,202387.03,0.2
ABC54,CH,BBB,75245.87,0.2
ABC55,CH,BB,700221.34,0.2
ABC56,CH,BB,54892.09,0.2
ABC57,CH,B,36322.9,0.2
ABC58,CH,B,79492.38,0.2
ABC59,CH,BBB,6868.68,0.2
ABC60,CH,BBB,360487.02,0.2
ABC61,CH,A,123285.62,0.2
ABC62,CH,BB,409021.45,0.2
ABC63,CH,A,32714.48,0.2
ABC64,CH,BB,990.99,0.2
ABC65,CH,BBB,115390.37,0.2
ABC66,CH,BBB,137626.9,0.2
ABC67,CH,A,2804.18,0.2
ABC68,CH,BB,12232.82,0.2
ABC69,CH,BBB,5857.54,0.2
ABC70,CH,BB,46980.41,0.2
ABC71,CH,BB,46781.61,0.2
ABC72,CH,BBB,40384.48,0.2
ABC73,CH,BBB,198758.08,0.2
ABC74,CH,A,131714.24,0.2
ABC75,CH,BBB,71871.63,0.2
ABC76,CH,BBB,9968.21,0.2
